HireDate,LastName,FirstName,homebase,Phone,EmpID,JobCode,Salary
20JAN1990,PETERSON,DEBORAH J.,CARY,2554,E01818,PILOT2,82000
19AUG1981,PIERCE,STEVEN W.,CARY,2569,E03921,FLTAT3,47000
26DEC1989,PITTMAN,MINGYUAN,LONDON,2577,E03339,FLTAT2,35000
03SEP1986,PLUM,JEFFERY W.,LONDON,2582,E03555,PILOT2,83000
06JAN1993,POPE,JON C.,CARY,2599,E02766,FLTAT2,32000
05OCT1988,SAWYER,CRAIG N.,LONDON,2745,E03740,PILOT1,73000
23MAY1982,SCHELL-HAUNGS,GABRIELE,FRANKFURT,1160,E01483,FLTAT2,33000
19MAY1986,SEELY,CURTIS,CARY,2779,E01384,FLTAT2,38000
02JUN1983,SHEA,DEBORAH B.,FRANKFURT,2797,E00223,PILOT3,105000
01MAR1990,STOOP,BRIAN,FRANKFURT,1136,E04581,PILOT1,69000
09OCT1981,STRAUSS,REINHARD,FRANKFURT,1183,E00632,PILOT3,100000
22NOV1991,THARPE,DELMA,FRANKFURT,2960,E03884,FLTAT2,38000
02AUG1984,TOMPKINS,JEFFREY J.,LONDON,2997,E00034,FLTAT3,44000
14JAN1980,WAKELIN,DAVE,LONDON,1156,E03591,FLTAT3,47000
18FEB1980,WASCHK,ROBERT,FRANKFURT,1194,E04064,FLTAT2,37000
06DEC1984,WELLHAEUSSER,JUERGEN,FRANKFURT,1197,E01996,FLTAT1,26000
12MAY1992,WHARIN,PHIL,LONDON,1160,E04356,FLTAT2,34000
25SEP1980,WHITE,RUTH M.,LONDON,1552,E01447,FLTAT3,45000
02JAN1981,WHITMEYER,ROBERTA J.,FRANKFURT,1553,E02679,FLTAT1,27000
09JAN1981,WILDER,TODD C.,CARY,1555,E02606,FLTAT2,36000
10DEC1987,WOODFORK,GARY W.,LONDON,1565,E03323,FLTAT1,22000
